Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Magnetovision_2D_256_2\Project Outputs for Magnetovision_2D_256_2\Pick Place\Pick Place for Mag256_9mm.csv

========================================================================================================================
File Design Information:

Date:       10/01/25
Time:       10:15
Revision:   cd8550b4dba492457a91c8a50a1b6ad8cbe399fa
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"MAG6_B9","DRV5055A4","TopLayer","SOT100P237X112-3N","43.2231mm","82.2701mm","0"
"MAG6_B8","DRV5055A4","TopLayer","SOT100P237X112-3N","151.2416mm","118.2510mm","0"
"MAG6_B7","DRV5055A4","TopLayer","SOT100P237X112-3N","115.2291mm","118.2464mm","0"
"MAG6_B6","DRV5055A4","TopLayer","SOT100P237X112-3N","79.2334mm","118.2151mm","0"
"MAG6_B5","DRV5055A4","TopLayer","SOT100P237X112-3N","43.2560mm","118.2700mm","0"
"MAG6_B4","DRV5055A4","TopLayer","SOT100P237X112-3N","151.2730mm","154.2501mm","0"
"MAG6_B3","DRV5055A4","TopLayer","SOT100P237X112-3N","115.2977mm","154.2695mm","0"
"MAG6_B2","DRV5055A4","TopLayer","SOT100P237X112-3N","79.2787mm","154.2676mm","0"
"MAG6_B1","DRV5055A4","TopLayer","SOT100P237X112-3N","43.2500mm","154.2500mm","0"
"MAG5_B16","DRV5055A4","TopLayer","SOT100P237X112-3N","142.2741mm","46.2337mm","0"
"MAG5_B15","DRV5055A4","TopLayer","SOT100P237X112-3N","106.2607mm","46.2490mm","0"
"MAG5_B14","DRV5055A4","TopLayer","SOT100P237X112-3N","70.2617mm","46.2407mm","0"
"MAG5_B13","DRV5055A4","TopLayer","SOT100P237X112-3N","34.2550mm","46.2711mm","0"
"MAG5_B12","DRV5055A4","TopLayer","SOT100P237X112-3N","142.2360mm","82.2505mm","0"
"MAG5_B11","DRV5055A4","TopLayer","SOT100P237X112-3N","106.2553mm","82.2566mm","0"
"MAG5_B10","DRV5055A4","TopLayer","SOT100P237X112-3N","70.2240mm","82.2270mm","0"
"MAG5_B9","DRV5055A4","TopLayer","SOT100P237X112-3N","34.2231mm","82.2701mm","0"
"MAG5_B8","DRV5055A4","TopLayer","SOT100P237X112-3N","142.2416mm","118.2510mm","0"
"MAG5_B7","DRV5055A4","TopLayer","SOT100P237X112-3N","106.2291mm","118.2464mm","0"
"MAG5_B6","DRV5055A4","TopLayer","SOT100P237X112-3N","70.2334mm","118.2151mm","0"
"MAG5_B5","DRV5055A4","TopLayer","SOT100P237X112-3N","34.2560mm","118.2700mm","0"
"MAG5_B4","DRV5055A4","TopLayer","SOT100P237X112-3N","142.2730mm","154.2501mm","0"
"MAG5_B3","DRV5055A4","TopLayer","SOT100P237X112-3N","106.2977mm","154.2695mm","0"
"MAG5_B2","DRV5055A4","TopLayer","SOT100P237X112-3N","70.2787mm","154.2676mm","0"
"MAG5_B1","DRV5055A4","TopLayer","SOT100P237X112-3N","34.2500mm","154.2500mm","0"
"MAG4_B16","DRV5055A4","TopLayer","SOT100P237X112-3N","133.2741mm","46.2337mm","0"
"MAG4_B15","DRV5055A4","TopLayer","SOT100P237X112-3N","97.2607mm","46.2490mm","0"
"MAG4_B14","DRV5055A4","TopLayer","SOT100P237X112-3N","61.2617mm","46.2407mm","0"
"MAG4_B13","DRV5055A4","TopLayer","SOT100P237X112-3N","25.2550mm","46.2711mm","0"
"MAG4_B12","DRV5055A4","TopLayer","SOT100P237X112-3N","133.2360mm","82.2505mm","0"
"MAG4_B11","DRV5055A4","TopLayer","SOT100P237X112-3N","97.2553mm","82.2566mm","0"
"MAG4_B10","DRV5055A4","TopLayer","SOT100P237X112-3N","61.2240mm","82.2270mm","0"
"MAG4_B9","DRV5055A4","TopLayer","SOT100P237X112-3N","25.2231mm","82.2701mm","0"
"MAG4_B8","DRV5055A4","TopLayer","SOT100P237X112-3N","133.2416mm","118.2510mm","0"
"MAG4_B7","DRV5055A4","TopLayer","SOT100P237X112-3N","97.2291mm","118.2464mm","0"
"MAG4_B6","DRV5055A4","TopLayer","SOT100P237X112-3N","61.2334mm","118.2151mm","0"
"MAG4_B5","DRV5055A4","TopLayer","SOT100P237X112-3N","25.2560mm","118.2700mm","0"
"MAG4_B4","DRV5055A4","TopLayer","SOT100P237X112-3N","133.2730mm","154.2501mm","0"
"MAG4_B3","DRV5055A4","TopLayer","SOT100P237X112-3N","97.2977mm","154.2695mm","0"
"MAG4_B2","DRV5055A4","TopLayer","SOT100P237X112-3N","61.2787mm","154.2676mm","0"
"MAG4_B1","DRV5055A4","TopLayer","SOT100P237X112-3N","25.2500mm","154.2500mm","0"
"MAG3_B16","DRV5055A4","TopLayer","SOT100P237X112-3N","124.2741mm","46.2337mm","0"
"MAG3_B15","DRV5055A4","TopLayer","SOT100P237X112-3N","88.2607mm","46.2490mm","0"
"MAG3_B14","DRV5055A4","TopLayer","SOT100P237X112-3N","52.2617mm","46.2407mm","0"
"MAG3_B13","DRV5055A4","TopLayer","SOT100P237X112-3N","16.2550mm","46.2711mm","0"
"MAG3_B12","DRV5055A4","TopLayer","SOT100P237X112-3N","124.2360mm","82.2505mm","0"
"MAG3_B11","DRV5055A4","TopLayer","SOT100P237X112-3N","88.2553mm","82.2566mm","0"
"MAG3_B10","DRV5055A4","TopLayer","SOT100P237X112-3N","52.2240mm","82.2270mm","0"
"MAG3_B9","DRV5055A4","TopLayer","SOT100P237X112-3N","16.2231mm","82.2701mm","0"
"MAG3_B8","DRV5055A4","TopLayer","SOT100P237X112-3N","124.2416mm","118.2510mm","0"
"MAG3_B7","DRV5055A4","TopLayer","SOT100P237X112-3N","88.2291mm","118.2464mm","0"
"MAG3_B6","DRV5055A4","TopLayer","SOT100P237X112-3N","52.2334mm","118.2151mm","0"
"MAG3_B5","DRV5055A4","TopLayer","SOT100P237X112-3N","16.2560mm","118.2700mm","0"
"MAG3_B4","DRV5055A4","TopLayer","SOT100P237X112-3N","124.2730mm","154.2501mm","0"
"MAG3_B3","DRV5055A4","TopLayer","SOT100P237X112-3N","88.2977mm","154.2695mm","0"
"MAG3_B2","DRV5055A4","TopLayer","SOT100P237X112-3N","52.2787mm","154.2676mm","0"
"MAG3_B1","DRV5055A4","TopLayer","SOT100P237X112-3N","16.2500mm","154.2500mm","0"
"MAG2_B16","DRV5055A4","TopLayer","SOT100P237X112-3N","124.2741mm","37.2337mm","0"
"MAG2_B15","DRV5055A4","TopLayer","SOT100P237X112-3N","88.2607mm","37.2490mm","0"
"MAG2_B14","DRV5055A4","TopLayer","SOT100P237X112-3N","52.2617mm","37.2407mm","0"
"MAG2_B13","DRV5055A4","TopLayer","SOT100P237X112-3N","16.2550mm","37.2711mm","0"
"MAG2_B12","DRV5055A4","TopLayer","SOT100P237X112-3N","124.2360mm","73.2505mm","0"
"MAG2_B11","DRV5055A4","TopLayer","SOT100P237X112-3N","88.2553mm","73.2566mm","0"
"MAG2_B10","DRV5055A4","TopLayer","SOT100P237X112-3N","52.2240mm","73.2270mm","0"
"MAG2_B9","DRV5055A4","TopLayer","SOT100P237X112-3N","16.2231mm","73.2701mm","0"
"MAG2_B8","DRV5055A4","TopLayer","SOT100P237X112-3N","124.2416mm","109.2510mm","0"
"MAG2_B7","DRV5055A4","TopLayer","SOT100P237X112-3N","88.2291mm","109.2464mm","0"
"MAG2_B6","DRV5055A4","TopLayer","SOT100P237X112-3N","52.2334mm","109.2151mm","0"
"MAG2_B5","DRV5055A4","TopLayer","SOT100P237X112-3N","16.2560mm","109.2700mm","0"
"MAG2_B4","DRV5055A4","TopLayer","SOT100P237X112-3N","124.2730mm","145.2501mm","0"
"MAG2_B3","DRV5055A4","TopLayer","SOT100P237X112-3N","88.2977mm","145.2695mm","0"
"MAG2_B2","DRV5055A4","TopLayer","SOT100P237X112-3N","52.2787mm","145.2676mm","0"
"MAG2_B1","DRV5055A4","TopLayer","SOT100P237X112-3N","16.2500mm","145.2500mm","0"
"MAG1_B16","DRV5055A4","TopLayer","SOT100P237X112-3N","133.2741mm","37.2337mm","0"
"MAG1_B15","DRV5055A4","TopLayer","SOT100P237X112-3N","97.2607mm","37.2490mm","0"
"MAG1_B14","DRV5055A4","TopLayer","SOT100P237X112-3N","61.2617mm","37.2407mm","0"
"MAG1_B13","DRV5055A4","TopLayer","SOT100P237X112-3N","25.2550mm","37.2711mm","0"
"MAG1_B12","DRV5055A4","TopLayer","SOT100P237X112-3N","133.2360mm","73.2505mm","0"
"MAG1_B11","DRV5055A4","TopLayer","SOT100P237X112-3N","97.2553mm","73.2566mm","0"
"MAG1_B10","DRV5055A4","TopLayer","SOT100P237X112-3N","61.2240mm","73.2270mm","0"
"MAG1_B9","DRV5055A4","TopLayer","SOT100P237X112-3N","25.2231mm","73.2701mm","0"
"MAG1_B8","DRV5055A4","TopLayer","SOT100P237X112-3N","133.2416mm","109.2510mm","0"
"MAG1_B7","DRV5055A4","TopLayer","SOT100P237X112-3N","97.2291mm","109.2464mm","0"
"MAG1_B6","DRV5055A4","TopLayer","SOT100P237X112-3N","61.2334mm","109.2151mm","0"
"MAG1_B5","DRV5055A4","TopLayer","SOT100P237X112-3N","25.2560mm","109.2700mm","0"
"MAG1_B4","DRV5055A4","TopLayer","SOT100P237X112-3N","133.2730mm","145.2501mm","0"
"MAG1_B3","DRV5055A4","TopLayer","SOT100P237X112-3N","97.2977mm","145.2695mm","0"
"MAG1_B2","DRV5055A4","TopLayer","SOT100P237X112-3N","61.2787mm","145.2676mm","0"
"MAG1_B1","DRV5055A4","TopLayer","SOT100P237X112-3N","25.2500mm","145.2500mm","0"
"L2","4.7u","BottomLayer","WE-LHMI_7030","158.8718mm","31.2211mm","0"
"L1","4.7u","TopLayer","WE-LHMI_7030","162.2500mm","28.2500mm","180"
"J2","43045-0201","TopLayer","43045-02YY","172.3400mm","28.5000mm","90"
"J1","QTE-020-01-L-D-A-K-TR","TopLayer","FP-QTE-020-01-L-D-A-K-TR_MFG","167.9256mm","85.2879mm","90"
"IC1_ADC2","AD7388-4","TopLayer","QFN50P400X400X60-25N-D","172.6000mm","52.7500mm","270"
"IC1_ADC1","AD7388-4","TopLayer","QFN50P400X400X60-25N-D","172.6561mm","126.6687mm","270"
"IC2","TPS7A5201QRGRRQ1","BottomLayer","QFN50P350X350X100-21N-D","161.4163mm","24.9671mm","180"
"D2","LED_0603_GREEN","TopLayer","LED_0603_GREEN","162.0000mm","156.3000mm","270"
"D1","SMA Shottky","BottomLayer","DO-214AC-2_(SMA)","170.7500mm","25.2500mm","180"
"C60_F22","100n","BottomLayer","CAP_0603","160.1000mm","58.2500mm","270"
"C60_F21","100n","BottomLayer","CAP_0603","160.1561mm","132.1687mm","270"
"C60_F12","100n","BottomLayer","CAP_0603","160.1000mm","44.7500mm","270"
"C60_F11","100n","BottomLayer","CAP_0603","160.1561mm","118.6687mm","270"
"C59_F22","330p","TopLayer","CAP_0603","166.6000mm","50.5000mm","315"
"C59_F21","330p","TopLayer","CAP_0603","166.6561mm","124.4187mm","315"
"C59_F12","330p","TopLayer","CAP_0603","168.3803mm","61.2803mm","225"
"C59_F11","330p","TopLayer","CAP_0603","168.4365mm","135.1990mm","225"
"C58_F22","330p","TopLayer","CAP_0603","169.4248mm","48.2783mm","135"
"C58_F21","330p","TopLayer","CAP_0603","169.4809mm","122.1970mm","135"
"C58_F12","330p","TopLayer","CAP_0603","169.3500mm","59.2500mm","225"
"C58_F11","330p","TopLayer","CAP_0603","169.4061mm","133.1687mm","225"
"C57_F22","330p","TopLayer","CAP_0603","168.6303mm","42.7197mm","135"
"C57_F21","330p","TopLayer","CAP_0603","168.6865mm","116.6384mm","135"
"C57_F12","330p","TopLayer","CAP_0603","167.0697mm","53.9697mm","45"
"C57_F11","330p","TopLayer","CAP_0603","167.1258mm","127.8884mm","45"
"C56_F22","330p","TopLayer","CAP_0603","168.3500mm","46.0000mm","135"
"C56_F21","330p","TopLayer","CAP_0603","168.4061mm","119.9187mm","135"
"C56_F12","330p","TopLayer","CAP_0603","168.1000mm","56.7500mm","180"
"C56_F11","330p","TopLayer","CAP_0603","168.1561mm","130.6687mm","180"
"C55_F116","30p","BottomLayer","CAP_0603","147.5241mm","28.4837mm","0"
"C55_F115","30p","BottomLayer","CAP_0603","111.5107mm","28.4990mm","0"
"C55_F114","30p","BottomLayer","CAP_0603","75.5117mm","28.4907mm","0"
"C55_F113","30p","BottomLayer","CAP_0603","39.5050mm","28.5211mm","0"
"C55_F112","30p","BottomLayer","CAP_0603","147.4860mm","64.5005mm","0"
"C55_F111","30p","BottomLayer","CAP_0603","111.5053mm","64.5066mm","0"
"C55_F110","30p","BottomLayer","CAP_0603","75.4740mm","64.4770mm","0"
"C55_F19","30p","BottomLayer","CAP_0603","39.4731mm","64.5201mm","0"
"C55_F18","30p","BottomLayer","CAP_0603","147.4916mm","100.5010mm","0"
"C55_F17","30p","BottomLayer","CAP_0603","111.4791mm","100.4964mm","0"
"C55_F16","30p","BottomLayer","CAP_0603","75.4834mm","100.4651mm","0"
"C55_F15","30p","BottomLayer","CAP_0603","39.5060mm","100.5200mm","0"
"C55_F14","30p","BottomLayer","CAP_0603","147.5230mm","136.5001mm","0"
"C55_F13","30p","BottomLayer","CAP_0603","111.5477mm","136.5195mm","0"
"C55_F12","30p","BottomLayer","CAP_0603","75.5287mm","136.5176mm","0"
"C55_F11","30p","BottomLayer","CAP_0603","39.5000mm","136.5000mm","0"
"C54_F116","100n","TopLayer","CAP_0603","146.3741mm","33.5337mm","270"
"C54_F115","100n","TopLayer","CAP_0603","110.3607mm","33.5490mm","270"
"C54_F114","100n","TopLayer","CAP_0603","74.3617mm","33.5407mm","270"
"C54_F113","100n","TopLayer","CAP_0603","38.3550mm","33.5711mm","270"
"C54_F112","100n","TopLayer","CAP_0603","146.3360mm","69.5505mm","270"
"C54_F111","100n","TopLayer","CAP_0603","110.3553mm","69.5566mm","270"
"C54_F110","100n","TopLayer","CAP_0603","74.3240mm","69.5270mm","270"
"C54_F19","100n","TopLayer","CAP_0603","38.3231mm","69.5701mm","270"
"C54_F18","100n","TopLayer","CAP_0603","146.3416mm","105.5510mm","270"
"C54_F17","100n","TopLayer","CAP_0603","110.3291mm","105.5464mm","270"
"C54_F16","100n","TopLayer","CAP_0603","74.3334mm","105.5151mm","270"
"C54_F15","100n","TopLayer","CAP_0603","38.3560mm","105.5700mm","270"
"C54_F14","100n","TopLayer","CAP_0603","146.3730mm","141.5501mm","270"
"C54_F13","100n","TopLayer","CAP_0603","110.3977mm","141.5695mm","270"
"C54_F12","100n","TopLayer","CAP_0603","74.3787mm","141.5676mm","270"
"C54_F11","100n","TopLayer","CAP_0603","38.3500mm","141.5500mm","270"
"C53_F116","47p","BottomLayer","CAP_0603","151.1241mm","33.2837mm","90"
"C53_F115","47p","BottomLayer","CAP_0603","115.1107mm","33.2990mm","90"
"C53_F114","47p","BottomLayer","CAP_0603","79.1117mm","33.2907mm","90"
"C53_F113","47p","BottomLayer","CAP_0603","43.1050mm","33.3211mm","90"
"C53_F112","47p","BottomLayer","CAP_0603","151.0860mm","69.3005mm","90"
"C53_F111","47p","BottomLayer","CAP_0603","115.1053mm","69.3066mm","90"
"C53_F110","47p","BottomLayer","CAP_0603","79.0740mm","69.2770mm","90"
"C53_F19","47p","BottomLayer","CAP_0603","43.0731mm","69.3201mm","90"
"C53_F18","47p","BottomLayer","CAP_0603","151.0916mm","105.3010mm","90"
"C53_F17","47p","BottomLayer","CAP_0603","115.0791mm","105.2964mm","90"
"C53_F16","47p","BottomLayer","CAP_0603","79.0834mm","105.2651mm","90"
"C53_F15","47p","BottomLayer","CAP_0603","43.1060mm","105.3200mm","90"
"C53_F14","47p","BottomLayer","CAP_0603","151.1230mm","141.3001mm","90"
"C53_F13","47p","BottomLayer","CAP_0603","115.1477mm","141.3195mm","90"
"C53_F12","47p","BottomLayer","CAP_0603","79.1287mm","141.3176mm","90"
"C53_F11","47p","BottomLayer","CAP_0603","43.1000mm","141.3000mm","90"
"C17_B16","100n","TopLayer","CAP_0603","140.6241mm","32.7837mm","0"
"C17_B15","100n","TopLayer","CAP_0603","104.6107mm","32.7990mm","0"
"C17_B14","100n","TopLayer","CAP_0603","68.6117mm","32.7907mm","0"
"C17_B13","100n","TopLayer","CAP_0603","32.6050mm","32.8211mm","0"
"C17_B12","100n","TopLayer","CAP_0603","140.5860mm","68.8005mm","0"
"C17_B11","100n","TopLayer","CAP_0603","104.6053mm","68.8066mm","0"
"C17_B10","100n","TopLayer","CAP_0603","68.5740mm","68.7770mm","0"
"C17_B9","100n","TopLayer","CAP_0603","32.5731mm","68.8201mm","0"
"C17_B8","100n","TopLayer","CAP_0603","140.5916mm","104.8010mm","0"
"C17_B7","100n","TopLayer","CAP_0603","104.5791mm","104.7964mm","0"
"C17_B6","100n","TopLayer","CAP_0603","68.5834mm","104.7651mm","0"
"C17_B5","100n","TopLayer","CAP_0603","32.6060mm","104.8200mm","0"
"C17_B4","100n","TopLayer","CAP_0603","140.6230mm","140.8001mm","0"
"C17_B3","100n","TopLayer","CAP_0603","104.6477mm","140.8195mm","0"
"C17_B2","100n","TopLayer","CAP_0603","68.6287mm","140.8176mm","0"
"C17_B1","100n","TopLayer","CAP_0603","32.6000mm","140.8000mm","0"
"C16_B16","100n","TopLayer","CAP_0603","151.2741mm","30.9837mm","0"
"C16_B15","100n","TopLayer","CAP_0603","115.2607mm","30.9990mm","0"
"C16_B14","100n","TopLayer","CAP_0603","79.2617mm","30.9907mm","0"
"C16_B13","100n","TopLayer","CAP_0603","43.2550mm","31.0211mm","0"
"C16_B12","100n","TopLayer","CAP_0603","151.2360mm","67.0005mm","0"
"C16_B11","100n","TopLayer","CAP_0603","115.2553mm","67.0066mm","0"
"C16_B10","100n","TopLayer","CAP_0603","79.2240mm","66.9770mm","0"
"C16_B9","100n","TopLayer","CAP_0603","43.2231mm","67.0201mm","0"
"C16_B8","100n","TopLayer","CAP_0603","151.2416mm","103.0010mm","0"
"C16_B7","100n","TopLayer","CAP_0603","115.2291mm","102.9964mm","0"
"C16_B6","100n","TopLayer","CAP_0603","79.2334mm","102.9651mm","0"
"C16_B5","100n","TopLayer","CAP_0603","43.2560mm","103.0200mm","0"
"C16_B4","100n","TopLayer","CAP_0603","151.2730mm","139.0001mm","0"
"C16_B3","100n","TopLayer","CAP_0603","115.2977mm","139.0195mm","0"
"C16_B2","100n","TopLayer","CAP_0603","79.2787mm","139.0176mm","0"
"C16_B1","100n","TopLayer","CAP_0603","43.2500mm","139.0000mm","0"
"C15_B16","100n","TopLayer","CAP_0603","142.2741mm","30.9837mm","0"
"C15_B15","100n","TopLayer","CAP_0603","106.2607mm","30.9990mm","0"
"C15_B14","100n","TopLayer","CAP_0603","70.2617mm","30.9907mm","0"
"C15_B13","100n","TopLayer","CAP_0603","34.2550mm","31.0211mm","0"
"C15_B12","100n","TopLayer","CAP_0603","142.2360mm","67.0005mm","0"
"C15_B11","100n","TopLayer","CAP_0603","106.2553mm","67.0066mm","0"
"C15_B10","100n","TopLayer","CAP_0603","70.2240mm","66.9770mm","0"
"C15_B9","100n","TopLayer","CAP_0603","34.2231mm","67.0201mm","0"
"C15_B8","100n","TopLayer","CAP_0603","142.2416mm","103.0010mm","0"
"C15_B7","100n","TopLayer","CAP_0603","106.2291mm","102.9964mm","0"
"C15_B6","100n","TopLayer","CAP_0603","70.2334mm","102.9651mm","0"
"C15_B5","100n","TopLayer","CAP_0603","34.2560mm","103.0200mm","0"
"C15_B4","100n","TopLayer","CAP_0603","142.2730mm","139.0001mm","0"
"C15_B3","100n","TopLayer","CAP_0603","106.2977mm","139.0195mm","0"
"C15_B2","100n","TopLayer","CAP_0603","70.2787mm","139.0176mm","0"
"C15_B1","100n","TopLayer","CAP_0603","34.2500mm","139.0000mm","0"
"C14_B16","100n","TopLayer","CAP_0603","151.2741mm","21.9837mm","0"
"C14_B15","100n","TopLayer","CAP_0603","115.2607mm","21.9990mm","0"
"C14_B14","100n","TopLayer","CAP_0603","79.2617mm","21.9907mm","0"
"C14_B13","100n","TopLayer","CAP_0603","43.2550mm","22.0211mm","0"
"C14_B12","100n","TopLayer","CAP_0603","151.2360mm","58.0005mm","0"
"C14_B11","100n","TopLayer","CAP_0603","115.2553mm","58.0066mm","0"
"C14_B10","100n","TopLayer","CAP_0603","79.2240mm","57.9770mm","0"
"C14_B9","100n","TopLayer","CAP_0603","43.2231mm","58.0201mm","0"
"C14_B8","100n","TopLayer","CAP_0603","151.2416mm","94.0010mm","0"
"C14_B7","100n","TopLayer","CAP_0603","115.2291mm","93.9964mm","0"
"C14_B6","100n","TopLayer","CAP_0603","79.2334mm","93.9651mm","0"
"C14_B5","100n","TopLayer","CAP_0603","43.2560mm","94.0200mm","0"
"C14_B4","100n","TopLayer","CAP_0603","151.2730mm","130.0001mm","0"
"C14_B3","100n","TopLayer","CAP_0603","115.2977mm","130.0195mm","0"
"C14_B2","100n","TopLayer","CAP_0603","79.2787mm","130.0176mm","0"
"C14_B1","100n","TopLayer","CAP_0603","43.2500mm","130.0000mm","0"
"C13_B16","100n","TopLayer","CAP_0603","142.2741mm","21.9837mm","0"
"C13_B15","100n","TopLayer","CAP_0603","106.2607mm","21.9990mm","0"
"C13_B14","100n","TopLayer","CAP_0603","70.2617mm","21.9907mm","0"
"C13_B13","100n","TopLayer","CAP_0603","34.2550mm","22.0211mm","0"
"C13_B12","100n","TopLayer","CAP_0603","142.2360mm","58.0005mm","0"
"C13_B11","100n","TopLayer","CAP_0603","106.2553mm","58.0066mm","0"
"C13_B10","100n","TopLayer","CAP_0603","70.2240mm","57.9770mm","0"
"C13_B9","100n","TopLayer","CAP_0603","34.2231mm","58.0201mm","0"
"C13_B8","100n","TopLayer","CAP_0603","142.2416mm","94.0010mm","0"
"C13_B7","100n","TopLayer","CAP_0603","106.2291mm","93.9964mm","0"
"C13_B6","100n","TopLayer","CAP_0603","70.2334mm","93.9651mm","0"
"C13_B5","100n","TopLayer","CAP_0603","34.2560mm","94.0200mm","0"
"C13_B4","100n","TopLayer","CAP_0603","142.2730mm","130.0001mm","0"
"C13_B3","100n","TopLayer","CAP_0603","106.2977mm","130.0195mm","0"
"C13_B2","100n","TopLayer","CAP_0603","70.2787mm","130.0176mm","0"
"C13_B1","100n","TopLayer","CAP_0603","34.2500mm","130.0000mm","0"
"C12_B16","100n","TopLayer","CAP_0603","133.2741mm","21.9837mm","0"
"C12_B15","100n","TopLayer","CAP_0603","97.2607mm","21.9990mm","0"
"C12_B14","100n","TopLayer","CAP_0603","61.2617mm","21.9907mm","0"
"C12_B13","100n","TopLayer","CAP_0603","25.2550mm","22.0211mm","0"
"C12_B12","100n","TopLayer","CAP_0603","133.2360mm","58.0005mm","0"
"C12_B11","100n","TopLayer","CAP_0603","97.2553mm","58.0066mm","0"
"C12_B10","100n","TopLayer","CAP_0603","61.2240mm","57.9770mm","0"
"C12_B9","100n","TopLayer","CAP_0603","25.2231mm","58.0201mm","0"
"C12_B8","100n","TopLayer","CAP_0603","133.2416mm","94.0010mm","0"
"C12_B7","100n","TopLayer","CAP_0603","97.2291mm","93.9964mm","0"
"C12_B6","100n","TopLayer","CAP_0603","61.2334mm","93.9651mm","0"
"C12_B5","100n","TopLayer","CAP_0603","25.2560mm","94.0200mm","0"
"C12_B4","100n","TopLayer","CAP_0603","133.2730mm","130.0001mm","0"
"C12_B3","100n","TopLayer","CAP_0603","97.2977mm","130.0195mm","0"
"C12_B2","100n","TopLayer","CAP_0603","61.2787mm","130.0176mm","0"
"C12_B1","100n","TopLayer","CAP_0603","25.2500mm","130.0000mm","0"
"C11_B16","100n","TopLayer","CAP_0603","124.2741mm","21.9837mm","0"
"C11_B15","100n","TopLayer","CAP_0603","88.2607mm","21.9990mm","0"
"C11_B14","100n","TopLayer","CAP_0603","52.2617mm","21.9907mm","0"
"C11_B13","100n","TopLayer","CAP_0603","16.2550mm","22.0211mm","0"
"C11_B12","100n","TopLayer","CAP_0603","124.2360mm","58.0005mm","0"
"C11_B11","100n","TopLayer","CAP_0603","88.2553mm","58.0066mm","0"
"C11_B10","100n","TopLayer","CAP_0603","52.2240mm","57.9770mm","0"
"C11_B9","100n","TopLayer","CAP_0603","16.2231mm","58.0201mm","0"
"C11_B8","100n","TopLayer","CAP_0603","124.2416mm","94.0010mm","0"
"C11_B7","100n","TopLayer","CAP_0603","88.2291mm","93.9964mm","0"
"C11_B6","100n","TopLayer","CAP_0603","52.2334mm","93.9651mm","0"
"C11_B5","100n","TopLayer","CAP_0603","16.2560mm","94.0200mm","0"
"C11_B4","100n","TopLayer","CAP_0603","124.2730mm","130.0001mm","0"
"C11_B3","100n","TopLayer","CAP_0603","88.2977mm","130.0195mm","0"
"C11_B2","100n","TopLayer","CAP_0603","52.2787mm","130.0176mm","0"
"C11_B1","100n","TopLayer","CAP_0603","16.2500mm","130.0000mm","0"
"C10_B16","100n","TopLayer","CAP_0603","133.2741mm","30.9837mm","0"
"C10_B15","100n","TopLayer","CAP_0603","97.2607mm","30.9990mm","0"
"C10_B14","100n","TopLayer","CAP_0603","61.2617mm","30.9907mm","0"
"C10_B13","100n","TopLayer","CAP_0603","25.2550mm","31.0211mm","0"
"C10_B12","100n","TopLayer","CAP_0603","133.2360mm","67.0005mm","0"
"C10_B11","100n","TopLayer","CAP_0603","97.2553mm","67.0066mm","0"
"C10_B10","100n","TopLayer","CAP_0603","61.2240mm","66.9770mm","0"
"C10_B9","100n","TopLayer","CAP_0603","25.2231mm","67.0201mm","0"
"C10_B8","100n","TopLayer","CAP_0603","133.2416mm","103.0010mm","0"
"C10_B7","100n","TopLayer","CAP_0603","97.2291mm","102.9964mm","0"
"C10_B6","100n","TopLayer","CAP_0603","61.2334mm","102.9651mm","0"
"C10_B5","100n","TopLayer","CAP_0603","25.2560mm","103.0200mm","0"
"C10_B4","100n","TopLayer","CAP_0603","133.2730mm","139.0001mm","0"
"C10_B3","100n","TopLayer","CAP_0603","97.2977mm","139.0195mm","0"
"C10_B2","100n","TopLayer","CAP_0603","61.2787mm","139.0176mm","0"
"C10_B1","100n","TopLayer","CAP_0603","25.2500mm","139.0000mm","0"
"C9_B16","100n","TopLayer","CAP_0603","124.2741mm","30.9837mm","0"
"C9_B15","100n","TopLayer","CAP_0603","88.2607mm","30.9990mm","0"
"C9_B14","100n","TopLayer","CAP_0603","52.2617mm","30.9907mm","0"
"C9_B13","100n","TopLayer","CAP_0603","16.2550mm","31.0211mm","0"
"C9_B12","100n","TopLayer","CAP_0603","124.2360mm","67.0005mm","0"
"C9_B11","100n","TopLayer","CAP_0603","88.2553mm","67.0066mm","0"
"C9_B10","100n","TopLayer","CAP_0603","52.2240mm","66.9770mm","0"
"C9_B9","100n","TopLayer","CAP_0603","16.2231mm","67.0201mm","0"
"C9_B8","100n","TopLayer","CAP_0603","124.2416mm","103.0010mm","0"
"C9_B7","100n","TopLayer","CAP_0603","88.2291mm","102.9964mm","0"
"C9_B6","100n","TopLayer","CAP_0603","52.2334mm","102.9651mm","0"
"C9_B5","100n","TopLayer","CAP_0603","16.2560mm","103.0200mm","0"
"C9_B4","100n","TopLayer","CAP_0603","124.2730mm","139.0001mm","0"
"C9_B3","100n","TopLayer","CAP_0603","88.2977mm","139.0195mm","0"
"C9_B2","100n","TopLayer","CAP_0603","52.2787mm","139.0176mm","0"
"C9_B1","100n","TopLayer","CAP_0603","16.2500mm","139.0000mm","0"
"C8_B16","100n","TopLayer","CAP_0603","142.2741mm","39.9837mm","0"
"C8_B15","100n","TopLayer","CAP_0603","106.2607mm","39.9990mm","0"
"C8_B14","100n","TopLayer","CAP_0603","70.2617mm","39.9907mm","0"
"C8_B13","100n","TopLayer","CAP_0603","34.2550mm","40.0211mm","0"
